TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
"('2022-03-29 17:26:35',)","(-39,)","(36,)","(-205,)"
"('2022-03-29 17:26:33',)","(-34,)","(39,)","(-213,)"
"('2022-03-29 17:26:33',)","(-34,)","(37,)","(-200,)"
"('2022-03-29 17:26:33',)","(-44,)","(39,)","(-199,)"
"('2022-03-29 17:26:33',)","(-42,)","(38,)","(-201,)"
"('2022-03-29 17:26:33',)","(-44,)","(39,)","(-195,)"
"('2022-03-29 17:26:33',)","(-41,)","(40,)","(-202,)"
"('2022-03-29 17:26:32',)","(-42,)","(39,)","(-214,)"
"('2022-03-29 17:26:32',)","(-42,)","(42,)","(-209,)"
"('2022-03-29 17:26:32',)","(-36,)","(42,)","(-201,)"
"('2022-03-29 17:26:32',)","(-33,)","(40,)","(-196,)"
"('2022-03-29 17:26:32',)","(-32,)","(38,)","(-198,)"
"('2022-03-29 17:26:32',)","(-32,)","(35,)","(-193,)"
"('2022-03-29 17:26:32',)","(-35,)","(31,)","(-197,)"
TIME,X2,Y2,Z2
"('2022-03-29 17:27:05',)","(-39,)","(44,)","(-198,)"
"('2022-03-29 17:27:05',)","(-35,)","(52,)","(-197,)"
"('2022-03-29 17:27:04',)","(-51,)","(2,)","(-222,)"
"('2022-03-29 17:27:03',)","(-49,)","(25,)","(-214,)"
"('2022-03-29 17:27:03',)","(-56,)","(9,)","(-202,)"
"('2022-03-29 17:27:03',)","(-60,)","(7,)","(-195,)"
"('2022-03-29 17:27:03',)","(-60,)","(24,)","(-194,)"
"('2022-03-29 17:27:03',)","(-58,)","(44,)","(-205,)"
"('2022-03-29 17:27:03',)","(-51,)","(49,)","(-191,)"
"('2022-03-29 17:27:03',)","(-39,)","(36,)","(-190,)"
"('2022-03-29 17:27:03',)","(-38,)","(13,)","(-205,)"
"('2022-03-29 17:27:02',)","(-17,)","(46,)","(-200,)"
"('2022-03-29 17:27:02',)","(-28,)","(31,)","(-217,)"
"('2022-03-29 17:27:02',)","(-40,)","(36,)","(-196,)"
"('2022-03-29 17:27:02',)","(-36,)","(42,)","(-193,)"
"('2022-03-29 17:27:02',)","(-37,)","(36,)","(-203,)"
"('2022-03-29 17:27:00',)","(-68,)","(-1,)","(-199,)"
"('2022-03-29 17:27:00',)","(-48,)","(41,)","(-219,)"
"('2022-03-29 17:27:00',)","(-15,)","(64,)","(-180,)"
"('2022-03-29 17:27:00',)","(-20,)","(51,)","(-206,)"
"('2022-03-29 17:26:59',)","(-31,)","(34,)","(-204,)"
"('2022-03-29 17:26:59',)","(-33,)","(36,)","(-203,)"
"('2022-03-29 17:26:59',)","(-34,)","(40,)","(-202,)"
"('2022-03-29 17:26:59',)","(-34,)","(38,)","(-204,)"
"('2022-03-29 17:26:59',)","(-32,)","(34,)","(-203,)"
"('2022-03-29 17:26:58',)","(-38,)","(31,)","(-202,)"
"('2022-03-29 17:26:58',)","(-36,)","(31,)","(-206,)"
"('2022-03-29 17:26:58',)","(-30,)","(30,)","(-203,)"
"('2022-03-29 17:26:58',)","(-34,)","(30,)","(-204,)"
"('2022-03-29 17:26:58',)","(-36,)","(33,)","(-201,)"
"('2022-03-29 17:26:58',)","(-41,)","(37,)","(-199,)"
"('2022-03-29 17:26:58',)","(-37,)","(36,)","(-199,)"
"('2022-03-29 17:26:57',)","(-32,)","(25,)","(-202,)"
"('2022-03-29 17:26:57',)","(-35,)","(28,)","(-197,)"
"('2022-03-29 17:26:57',)","(-38,)","(31,)","(-200,)"
"('2022-03-29 17:26:56',)","(-30,)","(38,)","(-204,)"
"('2022-03-29 17:26:54',)","(-29,)","(33,)","(-205,)"
"('2022-03-29 17:26:54',)","(-32,)","(36,)","(-206,)"
"('2022-03-29 17:26:54',)","(-32,)","(36,)","(-205,)"
"('2022-03-29 17:26:54',)","(-32,)","(41,)","(-203,)"
"('2022-03-29 17:26:54',)","(-30,)","(38,)","(-199,)"
"('2022-03-29 17:26:52',)","(-29,)","(36,)","(-202,)"
"('2022-03-29 17:26:52',)","(-33,)","(40,)","(-200,)"
"('2022-03-29 17:26:52',)","(-30,)","(38,)","(-202,)"
"('2022-03-29 17:26:52',)","(-30,)","(39,)","(-204,)"
"('2022-03-29 17:26:51',)","(-43,)","(42,)","(-205,)"
"('2022-03-29 17:26:51',)","(-40,)","(38,)","(-201,)"
"('2022-03-29 17:26:51',)","(-38,)","(37,)","(-198,)"
"('2022-03-29 17:26:51',)","(-39,)","(34,)","(-199,)"
"('2022-03-29 17:26:51',)","(-42,)","(36,)","(-204,)"
"('2022-03-29 17:26:51',)","(-43,)","(37,)","(-203,)"
"('2022-03-29 17:26:51',)","(-39,)","(33,)","(-200,)"
"('2022-03-29 17:26:51',)","(-33,)","(34,)","(-202,)"
"('2022-03-29 17:26:51',)","(-31,)","(34,)","(-205,)"
"('2022-03-29 17:26:50',)","(-40,)","(40,)","(-198,)"
"('2022-03-29 17:26:50',)","(-37,)","(39,)","(-196,)"
"('2022-03-29 17:26:50',)","(-36,)","(33,)","(-197,)"
